51,,FAST School of Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Classes' Schedule for Semester: Fall-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Room,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
Monday,Classes,A-01,SS1015 Pakistan Studies (08:30-10:20),,,,,,,,,,,BSBA01B,,,,,,,,,,,,,,,,MG1001 Fundamental of Management,,,,,,,BBA01A,,"	CY 4053Cybersecurity for FinTech",,,,,,,FT07A/B,,"	CY 4053Cybersecurity for FinTech",,,,,,,FT07A/B
,,A-02,MG4011 Entrepreneurship,,,,,,,AF07B,,MG4011 Entrepreneurship,,,,,,,AF07A,,AF1003 Intro to Financial Accounting,,,,,,,BBA01A,,AF1003 Intro to Financial Accounting,,,,,,,BBA01B,,MG4003 Strategic Management,,,,,,,BBA07A,,,,,,,,,
,,A-03,AF4005 Audit & Assurance,,,,,,,AF07A,,AF4005 Audit & Assurance,,,,,,,AF07B,,MG1001 Fundamental of Management,,,,,,,BBA01B,,MG4003 Strategic Management,,,,,,,BBA07B,,AF3003 Financial Institutions & Markets,,,,,,,BBA07B,,AF3003 Financial Institutions & Markets,,,,,,,BBA07A
,,A-04,MG2003 Consumer Behaviour,,,,,,,BBA05A,,AF 3001 Financial Management,,,,,,,BBA05A,,AF4011 Investment and Portfolio Analytics,,,,,,,FT07A,,AF4011 Investment and Portfolio Analytics,,,,,,,FT07B,,,,,,,,,,,,,,,,,,
,,A-101,AF 3001 Financial Management,,,,,,,BBA05B,,MG2003 Consumer Behaviour,,,,,,,BBA05B,,MG2001 Organizational Behaviour,,,,,,,BBA03C,,MG2001 Organizational Behaviour,,,,,,,BBA03D,,MG2012 Business Economics,,,,,,,BBA03B,,MG2012 Business Economics,,,,,,,BBA03A
,,A-102,MG1001 Fundamental of Management,,,,,,,BSBA01D,,MG3006 Operations Management,,,,,,,BBA05C,,SS1016 English - I (11:30-01:20),,,,,,,,,,,BSBA01A,,,,,,,MG2003 Consumer Behaviour,,,,,,,BSBA05C,,AF 3001 Financial Management,,,,,,,BSBA05C
,,A-103,AF1003 Introduction to Financial Accounting,,,,,,,AF01A,,MG1011 Business Mathematics,,,,,,,AF01A,,SS1016 English - I (11:30-01:20),,,,,,,,,,,,AF01A,,,,,,CS2003 Data Structures and Business Application,,,,,,,BSBA05A,,MG3004 Human Resource Management,,,,,,,BSBA05A
,,A-104,MG1011 Business Mathematics,,,,,,,AF01B,,AF1003 Introduction to Financial Accounting,,,,,,,AF01B,,SS1015 Pakistan Studies (11:30-01:20),,,,,,,,,,,,AF01B,,,,,,AF 3001 Financial Management,,,,,,,BSBA05B,,,,,,,,,
,,A- 201,AF2003 Management Accounting,,,,,,,BBA03B,,AF2003 Management Accounting,,,,,,,BBA03A,,MG4011 Entreprenureship,,,,,,,BSBA07B,,MG4011 Entreprenureship,,,,,,,BSBA07A,,MS,,,,,,,,,,,,,,,,
,,A- 202,AF1003 Intro to Financial Accounting,,,,,,,BBA01C,,MG1001 Fundamental of Management,,,,,,,BBA01C,,BA3002 Business Data and Text Mining,,,,,,,BSBA07A,,BA3002 Business Data and Text Mining,,,,,,,BSBA07B,,AF 3001 Financial Management,,,,,,,BBA05C,,MG3004 Human Resource Management,,,,,,,BBA05C
,,A- 203,MG1011 Business Mathematics,,,,,,,FT01A,,MG1002 Marketing Management,,,,,,,FT01A,,MG2009 Data Analysis for Business II,,,,,,,BBA03D,,MG2009 Data Analysis for Business II,,,,,,,BBA03C,,CS3003 Management Information System,,,,,,,AF05A,,CS3003 Management Information System,,,,,,,AF05B
,,A- 210,,,,,,,,,,AF2004 Business Finance,,,,,,,FT03A,,AF2004 Business Finance,,,,,,,FT03B,,AF1003 Intro to Financial Accounting,,,,,,,FT01B,,AF1003 Intro to Financial Accounting,,,,,,,FT01A,,,,,,,,,
,,A--211,SS1016 English - I (08:30-10:20),,,,,,,,,,,FT01C,,,,,,,CS2012 Introduction to Object Oriented Programming,,,,,,,FT03A,,CS2012 Introduction to Object Oriented Programming,,,,,,,FT03B,,SS1007 Islamic Studies/Ethics (02:25 - 04:15),,,,,,,,,,FT01D,,U-Sirat Nabi,,,,FT01D
,,A-301,SS1015 Pakistan Studies (08:30-10:20),,,,,,,,,,,BSBA01C,,,,,,,MT2004 Business Math-II,,,,,,,FT03C,,MG2012 Business Economics,,,,,,,FT03C,,SS2019 Psychology (02:25 - 04:15),,,,,,,,,FT03A,,,,,,,
,,A-302,SS1016 English - I (08:30-10:20),,,,,,,,,,,BBA01B,,,,,,,MG2012 Business Economics,,,,,,,FT03D,,MT2004 Business Math-II,,,,,,,FT03D,,SS2043 Civics and Community Engagement (02:25 - 04:15),,,,,,,,,FT03D,,,,,,,
,,A-303,SS2006 Macroeconomics,,,,,,,FT05A,,MG3003 Basic Econometrics,,,,,,,FT05A,,,,,,,,,,,,,,SS1013 Ideology and Constitutions of Pakistan (01:30-03:20),,,,,,,,,,,BBA03A,,,,,,,,,,,
,,A-305,MG3003 Basic Econometrics,,,,,,,FT05B,,SS2006 Macroeconomics,,,,,,,FT05B,,MG2012 Business Economics,,,,,,,BSBA03C,,CS2016 Programming for Business,,,,,,,BSBA03C,,SS1022 U-Holy Quran-I&II  (02:25 - 04:15),,,,,,,,,,,BSBA03B,,,,,
,,A-310,CS3017 Enterprise Systems & Applications,,,,,,,FT05C,,MG4011 Entrepreneurship,,,,,,,FT05C,,MG2011 Environmental Science and Sustainability for Business,,,,,,,BSBA03A,,MG2009 Data Analysis for Business II,,,,,,,BSBA03A,,MG3002 Business Law,,,,,,,AF05C,,MG3003 Basic Econometrics,,,,,,,AF05C
,,A-311,MG4011 Entrepreneurship,,,,,,,FT05D,,CS3017 Enterprise Systems & Applications,,,,,,,FT05D,,MG2009 Data Analysis for Business II,,,,,,,BSBA03B,,MG2011 Environmental Science and Sustainability for Business,,,,,,,BSBA03B,,MG3012 Blockchain Technology for Business,,,,,,,FT05C,,MG3012 Blockchain Technology for Business,,,,,,,FT05D
,,A-314,MG1002 Marketing Management,,,,,,,FT01B,,MG1011 Business Mathematics,,,,,,,FT01B,,MG3002 Business Law,,,,,,,AF05A,,AF 3001 Financial Management,,,,,,,AF05A,,MG2012 Business Economics,,,,,,,AF03A,,MG2011 Environmental Science and Sustainability for Business,,,,,,,AF03A
,,A-315,,,,,,,,,,,,,,,,,,,AF 3001 Financial Management,,,,,,,AF05B,,MG3002 Business Law,,,,,,,AF05B,,MG2011 Environmental Science and Sustainability for Business,,,,,,,AF03B,,MG2012 Business Economics,,,,,,,AF03B
,,A-316,MG2012 Business Economics,,,,,,,BSBA03A,,MG2012 Business Economics,,,,,,,BSBA03B,,SS1007 Islamic Studies/Ethics (02:25-04:15),,,,,,,,,,BBA01C,,U-Sirat Nabi,,,,BBA01C,,SS1013 Ideology and Constitutions of Pakistan (02:25-04:15),,,,,,,,,,,,FT03B,,,,
,Labs,,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
,Labs,KK-I,CL1001 IT in Business-Lab,,,,,,,BSBA01A,,CL1001 IT in Business-Lab,,,,,,,BSBA01A,,LG2009Data Analysis for Business -II Lab,,,,,,,AF03A,,LG2009Data Analysis for Business -II Lab,,,,,,,AF03A,,FL3001 Financial Management Lab,,,,,,,BBA05A,,FL3001 Financial Management Lab,,,,,,,BBA05A
,,KK-II,CL2012 Introduction to Object Oriented Programming-Lab,,,,,,,FT03C,,CL2012 Introduction to Object Oriented Programming-Lab,,,,,,,FT03C,,LG2009Data Analysis for Business -II Lab,,,,,,,BBA03B,,LG2009Data Analysis for Business -II Lab,,,,,,,BBA03B,,,,,,,,,,,,,,,,,,
,,KK-III,LG2009Data Analysis for Business -II Lab,,,,,,,BSBA03C,,LG2009Data Analysis for Business -II Lab,,,,,,,BSBA03C,,CL1001 IT in Business-Lab,,,,,,,BSBA01B,,CL1001 IT in Business-Lab,,,,,,,BSBA01B,,LG2009Data Analysis for Business -II Lab,,,,,,,BBA03C,,LG2009Data Analysis for Business -II Lab,,,,,,,BBA03C
,,Khyber I,CL2003 Data Structures and Business Application Lab,,,,,,,BSBA05B,,CL2003 Data Structures and Business Application Lab,,,,,,,BSBA05B,,LG3003 Basic Econometrics Lab,,,,,,,AF05C,,LG3003 Basic Econometrics Lab,,,,,,,AF05C,,,,,,,,,,,,,,,,,,
,,Khyber II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Khyber III,SL1016 English - I- Lab,,,,,,,BBA01A1,,SL1016 English - I- Lab,,,,,,,BBA01A1,,SL1016 English - I- Lab,,,,,,,BSBA01D1,,SL1016 English - I- Lab,,,,,,,BSBA01D1,,SL1016 English - I- Lab,,,,,,,FT01C1,,SL1016 English - I- Lab,,,,,,,FT01C1
,,Khyber IV,SL1016 English - I- Lab,,,,,,,BBA01A2,,SL1016 English - I- Lab,,,,,,,BBA01A2,,SL1016 English - I- Lab,,,,,,,BSBA01D2,,SL1016 English - I- Lab,,,,,,,BSBA01D2,,SL1016 English - I- Lab,,,,,,,FT01C2,,SL1016 English - I- Lab,,,,,,,FT01C2
,,Mehran-I,FL3001 Financial Management Lab,,,,,,,BSBA05C,,FL3001 Financial Management Lab,,,,,,,BSBA05C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mehran-II,LG3003 Basic Econometrics Lab,,,,,,,BSBA05A,,LG3003 Basic Econometrics Lab,,,,,,,BSBA05A,,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cal-I lab,SL1016 English - I- Lab,,,,,,,FT01D1,,SL1016 English - I- Lab,,,,,,,FT01D1,,SL1016 English - I- Lab,,,,,,,BSBA01C1,,SL1016 English - I- Lab,,,,,,,BSBA01C1,,CS,,,,,,,,,,,,,,,,
,,Cal-II lab,SL1016 English - I- Lab,,,,,,,FT01D2,,SL1016 English - I- Lab,,,,,,,FT01D2,,SL1016 English - I- Lab,,,,,,,BSBA01C2,,SL1016 English - I- Lab,,,,,,,BSBA01C2,,,,,,,,,,,,,,,,,,
,,Room,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
